,barrios,comuna
0,"Retiro, CABA",Comuna 1
1,"San Nicolás, CABA",Comuna 1
2,"San Telmo, CABA",Comuna 1
3,"Monserrat, CABA",Comuna 1
4,"Constitución, CABA",Comuna 1
5,"Puerto Madero, CABA",Comuna 1
6,"Recoleta, CABA",Comuna 2
7,"Balvanera, CABA",Comuna 3
8,"San Cristóbal, CABA",Comuna 3
9,"La Boca, CABA",Comuna 4
10,"Barracas, CABA",Comuna 4
11,"Parque Patricios, CABA",Comuna 4
12,"Nueva Pompeya, CABA",Comuna 4
13,"Almagro, CABA",Comuna 5
14,"Boedo, CABA",Comuna 5
15,"Caballito, CABA",Comuna 6
16,"Flores, CABA",Comuna 7
17,"Parque Chacabuco, CABA",Comuna 7
18,"Villa Soldati, CABA",Comuna 8
19,"Villa Riachuelo, CABA",Comuna 8
20,"Villa Lugano, CABA",Comuna 8
21,"Liniers, CABA",Comuna 9
22,"Mataderos, CABA",Comuna 9
23,"Parque Avellaneda, CABA",Comuna 9
24,"Villa Real, CABA",Comuna 10
25,"Monte Castro, CABA",Comuna 10
26,"Versalles, CABA",Comuna 10
27,"Floresta, CABA",Comuna 10
28,"Villa Luro, CABA",Comuna 10
29,"Velez Sarsfield, CABA",Comuna 10
30,"Villa General Mitre, CABA",Comuna 11
31,"Villa Devoto, CABA",Comuna 11
32,"Villa del Parque, CABA",Comuna 11
33,"Villa Santa Rita, CABA",Comuna 11
34,"Coghlan, CABA",Comuna 12
35,"Saavedra, CABA",Comuna 12
36,"Villa Urquiza, CABA",Comuna 12
37,"Villa Pueyrredon, CABA",Comuna 12
38,"Belgrano, CABA",Comuna 13
39,"Colegiales, CABA",Comuna 13
40,"Nuñez, CABA",Comuna 13
41,"Palermo, CABA",Comuna 14
42,"Chacarita, CABA",Comuna 15
43,"Villa Crespo, CABA",Comuna 15
44,"La Paternal, CABA",Comuna 15
45,"Villa Ortúzar, CABA",Comuna 15
46,"Agronomia, CABA",Comuna 15
47,"Parque chas, CABA",Comuna 15
