,comuna,year,semestre,fecha_semestre,cantidad victimas,objetivo_comunal,cantidad_victimas_total,objetivo_total
0,Comuna 1,2016,1,2016-06-30,4.0,,62,
1,Comuna 1,2016,1,2016-06-30,4.0,,62,
2,Comuna 1,2016,1,2016-06-30,4.0,,62,
3,Comuna 1,2016,1,2016-06-30,4.0,,62,
4,Comuna 1,2016,1,2016-06-30,4.0,,62,
5,Comuna 1,2016,1,2016-06-30,4.0,,62,
6,Comuna 1,2016,1,2016-06-30,4.0,,62,
7,Comuna 1,2016,1,2016-06-30,4.0,,62,
8,Comuna 1,2016,1,2016-06-30,4.0,,62,
9,Comuna 1,2016,1,2016-06-30,4.0,,62,
10,Comuna 1,2016,1,2016-06-30,4.0,,62,
11,Comuna 1,2016,1,2016-06-30,4.0,,62,
90,Comuna 10,2016,1,2016-06-30,1.0,,62,
91,Comuna 10,2016,1,2016-06-30,1.0,,62,
92,Comuna 10,2016,1,2016-06-30,1.0,,62,
119,Comuna 11,2016,1,2016-06-30,1.0,,62,
151,Comuna 12,2016,1,2016-06-30,1.0,,62,
152,Comuna 12,2016,1,2016-06-30,1.0,,62,
153,Comuna 12,2016,1,2016-06-30,1.0,,62,
154,Comuna 12,2016,1,2016-06-30,1.0,,62,
188,Comuna 13,2016,1,2016-06-30,1.0,,62,
189,Comuna 13,2016,1,2016-06-30,1.0,,62,
227,Comuna 14,2016,1,2016-06-30,1.0,,62,
228,Comuna 14,2016,1,2016-06-30,1.0,,62,
259,Comuna 15,2016,1,2016-06-30,,,62,
260,Comuna 15,2016,1,2016-06-30,,,62,
261,Comuna 15,2016,1,2016-06-30,,,62,
303,Comuna 2,2016,1,2016-06-30,1.0,,62,
328,Comuna 3,2016,1,2016-06-30,3.0,,62,
329,Comuna 3,2016,1,2016-06-30,3.0,,62,
330,Comuna 3,2016,1,2016-06-30,3.0,,62,
331,Comuna 3,2016,1,2016-06-30,3.0,,62,
373,Comuna 4,2016,1,2016-06-30,4.0,,62,
374,Comuna 4,2016,1,2016-06-30,4.0,,62,
375,Comuna 4,2016,1,2016-06-30,4.0,,62,
376,Comuna 4,2016,1,2016-06-30,4.0,,62,
377,Comuna 4,2016,1,2016-06-30,4.0,,62,
378,Comuna 4,2016,1,2016-06-30,4.0,,62,
379,Comuna 4,2016,1,2016-06-30,4.0,,62,
468,Comuna 6,2016,1,2016-06-30,,,62,
469,Comuna 6,2016,1,2016-06-30,,,62,
489,Comuna 7,2016,1,2016-06-30,3.0,,62,
490,Comuna 7,2016,1,2016-06-30,3.0,,62,
491,Comuna 7,2016,1,2016-06-30,3.0,,62,
492,Comuna 7,2016,1,2016-06-30,3.0,,62,
493,Comuna 7,2016,1,2016-06-30,3.0,,62,
548,Comuna 8,2016,1,2016-06-30,6.0,,62,
549,Comuna 8,2016,1,2016-06-30,6.0,,62,
550,Comuna 8,2016,1,2016-06-30,6.0,,62,
551,Comuna 8,2016,1,2016-06-30,6.0,,62,
552,Comuna 8,2016,1,2016-06-30,6.0,,62,
553,Comuna 8,2016,1,2016-06-30,6.0,,62,
554,Comuna 8,2016,1,2016-06-30,6.0,,62,
555,Comuna 8,2016,1,2016-06-30,6.0,,62,
556,Comuna 8,2016,1,2016-06-30,6.0,,62,
557,Comuna 8,2016,1,2016-06-30,6.0,,62,
558,Comuna 8,2016,1,2016-06-30,6.0,,62,
559,Comuna 8,2016,1,2016-06-30,6.0,,62,
560,Comuna 8,2016,1,2016-06-30,6.0,,62,
613,Comuna 9,2016,1,2016-06-30,1.0,,62,
614,Comuna 9,2016,1,2016-06-30,1.0,,62,
615,Comuna 9,2016,1,2016-06-30,1.0,,62,
616,Comuna 9,2016,1,2016-06-30,1.0,,62,
12,Comuna 1,2016,2,2016-12-31,6.0,3.72,74,57.66
13,Comuna 1,2016,2,2016-12-31,6.0,3.72,74,57.66
14,Comuna 1,2016,2,2016-12-31,6.0,3.72,74,57.66
15,Comuna 1,2016,2,2016-12-31,6.0,3.72,74,57.66
16,Comuna 1,2016,2,2016-12-31,6.0,3.72,74,57.66
17,Comuna 1,2016,2,2016-12-31,6.0,3.72,74,57.66
18,Comuna 1,2016,2,2016-12-31,6.0,3.72,74,57.66
