,comuna,year,fecha_semestre,semestre,poblacion_comunal,tasa_comunal,objetivo_comunal,poblacion_total,tasa_Total,objetivo_total
0,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
1,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
2,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
3,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
4,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
5,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
6,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
7,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
8,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
9,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
10,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
11,Comuna 1,2016,2016-06-30,1,252053,4.761,,3059122,2.059,
12,Comuna 10,2016,2016-06-30,1,170163,1.763,,3059122,2.059,
13,Comuna 10,2016,2016-06-30,1,170163,1.763,,3059122,2.059,
14,Comuna 10,2016,2016-06-30,1,170163,1.763,,3059122,2.059,
15,Comuna 11,2016,2016-06-30,1,189956,0.526,,3059122,2.059,
16,Comuna 12,2016,2016-06-30,1,213576,1.873,,3059122,2.059,
17,Comuna 12,2016,2016-06-30,1,213576,1.873,,3059122,2.059,
18,Comuna 12,2016,2016-06-30,1,213576,1.873,,3059122,2.059,
19,Comuna 12,2016,2016-06-30,1,213576,1.873,,3059122,2.059,
20,Comuna 13,2016,2016-06-30,1,235819,0.848,,3059122,2.059,
21,Comuna 13,2016,2016-06-30,1,235819,0.848,,3059122,2.059,
22,Comuna 14,2016,2016-06-30,1,226884,0.882,,3059122,2.059,
23,Comuna 14,2016,2016-06-30,1,226884,0.882,,3059122,2.059,
24,Comuna 15,2016,2016-06-30,1,182390,1.645,,3059122,2.059,
25,Comuna 15,2016,2016-06-30,1,182390,1.645,,3059122,2.059,
26,Comuna 15,2016,2016-06-30,1,182390,1.645,,3059122,2.059,
27,Comuna 2,2016,2016-06-30,1,149848,0.667,,3059122,2.059,
28,Comuna 3,2016,2016-06-30,1,192573,2.077,,3059122,2.059,
29,Comuna 3,2016,2016-06-30,1,192573,2.077,,3059122,2.059,
30,Comuna 3,2016,2016-06-30,1,192573,2.077,,3059122,2.059,
31,Comuna 3,2016,2016-06-30,1,192573,2.077,,3059122,2.059,
32,Comuna 4,2016,2016-06-30,1,238303,2.937,,3059122,2.059,
33,Comuna 4,2016,2016-06-30,1,238303,2.937,,3059122,2.059,
34,Comuna 4,2016,2016-06-30,1,238303,2.937,,3059122,2.059,
35,Comuna 4,2016,2016-06-30,1,238303,2.937,,3059122,2.059,
36,Comuna 4,2016,2016-06-30,1,238303,2.937,,3059122,2.059,
37,Comuna 4,2016,2016-06-30,1,238303,2.937,,3059122,2.059,
